"gene_symbol","t"
"METTL2A",-0.879278242341035
"KATNAL2",-0.879597905989549
"SDCBP2",-0.879745645953135
"ENTPD5",-0.88013333694016
"SRPX2",-0.88104467853305
"LOC101929285",-0.881309955309151
"EFNA4",-0.881843411778149
"LOC105374191",-0.883434452080763
"ACOT11",-0.883636462594077
"FAT4",-0.884129485672453
"PEX3",-0.884650853692184
"DUSP19",-0.886400234290115
"METTL14",-0.887381378258744
"SGTB",-0.887586202736476
"LOC107984661",-0.888816281210872
"ERVK13-1",-0.889431738712462
"C9orf131",-0.890239029285324
"TAL1",-0.891871243068602
"SRSF4",-0.891997976058641
"NCR3LG1",-0.892897870325243
"POF1B",-0.893488437229005
"NORAD",-0.893512555036535
"NPEPPSP1",-0.894995789217156
"DUS4L",-0.895310391522273
"PEPD",-0.895876130892074
"CCT3",-0.896470837405352
"HIF1A-AS3",-0.897458112248387
"PTPN18",-0.897478775029018
"ZNF333",-0.897881236544467
"MPV17L2",-0.89803940558951
"LINC01186",-0.899165539344773
"LRCH4",-0.899384426318031
"PIBF1",-0.899884095713276
"FAM177A1",-0.899891905696871
"SETD1A",-0.900416100607163
"HIRA",-0.901418263820172
"COX10-DT",-0.901602423517929
"GOLGA6L17P",-0.902066124256402
"MFSD4B",-0.902170922518287
"GEN1",-0.902470407460599
"ADI1",-0.902848553890551
"EYS",-0.903747021809203
"EMCN",-0.903920197306099
"ANXA9",-0.904223520599357
"EIF2S3B",-0.904466705094246
"SNORA7A",-0.905426113871288
"WASHC1",-0.906325579860837
"APP",-0.906427406873894
"LINC00924",-0.907238334593463
"PHF7",-0.907370492203819
"LOC105374838",-0.909147044663593
"ANO10",-0.909390287008186
"ARFIP1",-0.909427873701474
"GUCY2C",-0.909991221296757
"PTGER4",-0.910193670437776
"ZNF138",-0.91078388565709
"MSANTD2",-0.911445838826692
"SBF1",-0.911604289713381
"CSF2RA",-0.912366848611957
"CREBRF",-0.912629906026319
"PTPN2",-0.912735574671428
"P4HA2-AS1",-0.913061828055393
"SPDYE1",-0.913769742004647
"PMEL",-0.914478864137415
"CHCHD7",-0.915222741136066
"FGGY-DT",-0.915880633906638
"CASP4",-0.916634392699606
"DDX42",-0.918145104734349
"TCAF2",-0.918840443195549
"MASTL",-0.918861369576336
"ATXN1",-0.920477109598088
"HSPC324",-0.921381357938697
"BCL7B",-0.921463842782106
"MYPOP",-0.921953184289134
"SPTBN2",-0.922132561772822
"ZNF597",-0.923012656526559
"ATF6-DT",-0.923390473081479
"SLC29A1",-0.926621256364446
"UBR5-DT",-0.92672009296864
"ZNF3",-0.927704486298304
"CDK8",-0.928089630038921
"ZNRF1",-0.928249252562445
"WDR4",-0.928273413030008
"LOC101928371",-0.92873102050534
"C8orf48",-0.928869574795098
"THSD7A",-0.928964198549405
"FUOM",-0.929333489129734
"AAK1",-0.929432753537884
"PRICKLE2-AS1",-0.930075057935069
"PCDHB18P",-0.9302569873598
"PROK1",-0.931467810944068
